Database of Origin,Crowley et al 1991
Sample Description,Chlorides
Date Added,2017-03-22 23:56:03.748125

Data ID,CROW_4_4            
Mineral Name,Halite
Locality,"Bristol Dry Lake, California"
Formula,NaCl

Wavelength
1269.0,0.739
1273.0,0.739
1277.0,0.739
1281.0,0.74
1285.0,0.74
1289.0,0.74
1293.0,0.741
1297.0,0.742
1301.0,0.742
1305.0,0.741
1309.0,0.74
1313.0,0.74
1317.0,0.74
1321.0,0.739
1325.0,0.739
1329.0,0.739
1333.0,0.739
1337.0,0.739
1341.0,0.738
1345.0,0.737
1349.0,0.737
1353.0,0.737
1357.0,0.736
1361.0,0.735
1365.0,0.736
1369.0,0.737
1373.0,0.737
1377.0,0.734
1381.0,0.732
1385.0,0.731
1389.0,0.73
1393.0,0.726
1397.0,0.723
1401.0,0.72
1405.0,0.715
1409.0,0.712
1413.0,0.708
1417.0,0.704
1421.0,0.7
1425.0,0.697
1429.0,0.694
1433.0,0.692
1437.0,0.691
1441.0,0.692
1445.0,0.693
1449.0,0.694
1453.0,0.696
1457.0,0.697
1461.0,0.699
1465.0,0.7
1469.0,0.702
1473.0,0.703
1477.0,0.705
1481.0,0.706
1485.0,0.708
1489.0,0.71
1493.0,0.711
1497.0,0.713
1501.0,0.714
1505.0,0.718
1509.0,0.721
1513.0,0.722
1517.0,0.723
1521.0,0.725
1525.0,0.726
1529.0,0.726
1533.0,0.727
1537.0,0.73
1541.0,0.732
1545.0,0.733
1549.0,0.734
1553.0,0.734
1557.0,0.734
1561.0,0.734
1565.0,0.734
1569.0,0.734
1573.0,0.734
1577.0,0.735
1581.0,0.736
1585.0,0.737
1589.0,0.738
1593.0,0.738
1597.0,0.738
1601.0,0.739
1605.0,0.74
1609.0,0.741
1613.0,0.741
1617.0,0.741
1621.0,0.741
1625.0,0.74
1629.0,0.74
1633.0,0.741
1637.0,0.744
1641.0,0.745
1645.0,0.745
1649.0,0.744
1653.0,0.744
1657.0,0.744
1661.0,0.744
1665.0,0.744
1669.0,0.745
1673.0,0.745
1677.0,0.745
1681.0,0.745
1685.0,0.745
1689.0,0.746
1693.0,0.746
1697.0,0.745
1701.0,0.745
1705.0,0.745
1709.0,0.746
1713.0,0.746
1717.0,0.745
1721.0,0.745
1725.0,0.744
1729.0,0.744
1733.0,0.744
1737.0,0.744
1741.0,0.743
1745.0,0.741
1749.0,0.739
1753.0,0.737
1757.0,0.736
1761.0,0.734
1765.0,0.734
1769.0,0.734
1773.0,0.733
1777.0,0.732
1781.0,0.732
1785.0,0.732
1789.0,0.731
1793.0,0.731
1797.0,0.732
1801.0,0.732
1805.0,0.733
1809.0,0.733
1813.0,0.733
1817.0,0.733
1821.0,0.734
1825.0,0.734
1829.0,0.733
1833.0,0.731
1837.0,0.731
1841.0,0.732
1845.0,0.732
1849.0,0.732
1853.0,0.731
1857.0,0.73
1861.0,0.728
1865.0,0.726
1869.0,0.723
1873.0,0.719
1877.0,0.714
1881.0,0.706
1885.0,0.697
1889.0,0.687
1893.0,0.674
1897.0,0.66
1901.0,0.645
1905.0,0.631
1909.0,0.617
1913.0,0.605
1917.0,0.594
1921.0,0.586
1925.0,0.58
1929.0,0.576
1933.0,0.573
1937.0,0.572
1941.0,0.572
1945.0,0.572
1949.0,0.573
1953.0,0.575
1957.0,0.578
1961.0,0.582
1965.0,0.587
1969.0,0.591
1973.0,0.596
1977.0,0.601
1981.0,0.606
1985.0,0.611
1989.0,0.616
1993.0,0.621
1997.0,0.628
2001.0,0.635
2005.0,0.641
2009.0,0.647
2013.0,0.652
2017.0,0.657
2021.0,0.662
2025.0,0.668
2029.0,0.674
2033.0,0.68
2037.0,0.684
2041.0,0.688
2045.0,0.691
2049.0,0.694
2053.0,0.697
2057.0,0.7
2061.0,0.703
2065.0,0.705
2069.0,0.707
2073.0,0.709
2077.0,0.709
2081.0,0.71
2085.0,0.712
2089.0,0.714
2093.0,0.717
2097.0,0.72
2101.0,0.721
2105.0,0.722
2109.0,0.723
2113.0,0.724
2117.0,0.726
2121.0,0.728
2125.0,0.729
2129.0,0.728
2133.0,0.727
2137.0,0.728
2141.0,0.73
2145.0,0.73
2149.0,0.729
2153.0,0.728
2157.0,0.727
2161.0,0.726
2165.0,0.726
2169.0,0.726
2173.0,0.726
2177.0,0.725
2181.0,0.723
2185.0,0.721
2189.0,0.72
2193.0,0.719
2197.0,0.718
2201.0,0.718
2205.0,0.719
2209.0,0.719
2213.0,0.72
2217.0,0.719
2221.0,0.719
2225.0,0.719
2229.0,0.719
2233.0,0.719
2237.0,0.718
2241.0,0.716
2245.0,0.716
2249.0,0.717
2253.0,0.718
2257.0,0.719
2261.0,0.719
2265.0,0.719
2269.0,0.718
2273.0,0.718
2277.0,0.718
2281.0,0.718
2285.0,0.718
2289.0,0.717
2293.0,0.716
2297.0,0.715
2301.0,0.714
2305.0,0.712
2309.0,0.711
2313.0,0.711
2317.0,0.711
2321.0,0.711
2325.0,0.711
2329.0,0.712
2333.0,0.712
2337.0,0.712
2341.0,0.71
2345.0,0.709
2349.0,0.707
2353.0,0.705
2357.0,0.704
2361.0,0.702
2365.0,0.7
2369.0,0.698
2373.0,0.695
2377.0,0.691
2381.0,0.689
2385.0,0.686
2389.0,0.683
2393.0,0.68
2397.0,0.677
2401.0,0.674
2405.0,0.672
2409.0,0.668
2413.0,0.664
2417.0,0.659
2421.0,0.655
2425.0,0.652
2429.0,0.65
2433.0,0.647
2437.0,0.644
2441.0,0.641
2445.0,0.638
2449.0,0.635
2453.0,0.633
2457.0,0.63
2461.0,0.627
2465.0,0.622
2469.0,0.619
2473.0,0.616
2477.0,0.615
2481.0,0.614
2485.0,0.613
2489.0,0.612
2493.0,0.611
2497.0,0.61
2501.0,0.608
2505.0,0.608
