Database of Origin,Western Washington University
Sample Description,Namibia Sands
Date Added,2018-02-05 20:26:03.189219

Data ID,WWU_NMB_01          
Sample ID,NMB_01
Mineral Name,Coarse inter-barchan ripple crest
Locality,"Lat: -24.1000459716, Long: 14.6472020354"
Viewing Geometry,0/23
Composition,Quartz sand w/ ferric coatings

Wavelength
981.0,0.406277537
982.0,0.406493187
983.0,0.406827599
984.0,0.407066166
985.0,0.407248557
986.0,0.407466263
987.0,0.407695115
988.0,0.40790087
989.0,0.408092767
990.0,0.408279359
991.0,0.408421665
992.0,0.408691674
993.0,0.408997059
994.0,0.409243971
995.0,0.409530699
996.0,0.409672439
997.0,0.409769803
998.0,0.409918845
999.0,0.410041153
1000.0,0.410237134
1001.0,0.40963617
1002.0,0.409765929
1003.0,0.409912616
1004.0,0.410070539
1005.0,0.410254151
1006.0,0.410426199
1007.0,0.410603583
1008.0,0.410767257
1009.0,0.410932392
1010.0,0.411090523
1011.0,0.411238372
1012.0,0.411381364
1013.0,0.411500484
1014.0,0.41165024
1015.0,0.411809713
1016.0,0.411973774
1017.0,0.41213572
1018.0,0.41232875
1019.0,0.412487835
1020.0,0.41261524
1021.0,0.412765205
1022.0,0.412925869
1023.0,0.413072735
1024.0,0.413215369
1025.0,0.413362145
1026.0,0.413506895
1027.0,0.413653761
1028.0,0.41376999
1029.0,0.41388005
1030.0,0.413982391
1031.0,0.41404289
1032.0,0.414136618
1033.0,0.414250761
1034.0,0.414354891
1035.0,0.414466441
1036.0,0.414568454
1037.0,0.414665878
1038.0,0.414765239
1039.0,0.414841264
1040.0,0.414900631
1041.0,0.414966732
1042.0,0.415019542
1043.0,0.415076882
1044.0,0.415132016
1045.0,0.415197432
1046.0,0.415272892
1047.0,0.415334672
1048.0,0.415392578
1049.0,0.415458679
1050.0,0.415523916
1051.0,0.415574312
1052.0,0.415641904
1053.0,0.415720642
1054.0,0.41580528
1055.0,0.415883869
1056.0,0.415985227
1057.0,0.416104645
1058.0,0.41623047
1059.0,0.416379184
1060.0,0.416518599
1061.0,0.416658938
1062.0,0.416799903
1063.0,0.416951358
1064.0,0.417098463
1065.0,0.417261958
1066.0,0.417439014
1067.0,0.417621642
1068.0,0.417805612
1069.0,0.418005645
1070.0,0.418217838
1071.0,0.418438882
1072.0,0.41866979
1073.0,0.418913394
1074.0,0.419158548
1075.0,0.419417232
1076.0,0.419663817
1077.0,0.419906944
1078.0,0.420156419
1079.0,0.420396924
1080.0,0.42065233
1081.0,0.420923114
1082.0,0.42118752
1083.0,0.421459019
1084.0,0.421723127
1085.0,0.421983242
1086.0,0.422240734
1087.0,0.422489643
1088.0,0.422736824
1089.0,0.422969013
1090.0,0.423186034
1091.0,0.423406124
1092.0,0.423601627
1093.0,0.423825502
1094.0,0.424078822
1095.0,0.424304456
1096.0,0.424536943
1097.0,0.424754441
1098.0,0.424957603
1099.0,0.425134718
1100.0,0.425316691
1101.0,0.425501138
1102.0,0.425665349
1103.0,0.425812453
1104.0,0.425959557
1105.0,0.426073641
1106.0,0.426225573
1107.0,0.426416844
1108.0,0.426570177
1109.0,0.426716089
1110.0,0.426883906
1111.0,0.426995218
1112.0,0.427053452
1113.0,0.427142859
1114.0,0.427220613
1115.0,0.427308202
1116.0,0.427413136
1117.0,0.427497149
1118.0,0.427575618
1119.0,0.427647203
1120.0,0.427703887
1121.0,0.427763253
1122.0,0.427820712
1123.0,0.427874029
1124.0,0.427931786
1125.0,0.427998424
1126.0,0.428042889
1127.0,0.428074092
1128.0,0.42811656
1129.0,0.428151667
1130.0,0.42818737
1131.0,0.428239137
1132.0,0.428274989
1133.0,0.428302437
1134.0,0.428320378
1135.0,0.428330928
1136.0,0.428330958
1137.0,0.428341299
1138.0,0.428346097
1139.0,0.42835319
1140.0,0.428367138
1141.0,0.428378522
1142.0,0.428385466
1143.0,0.428393155
1144.0,0.42840603
1145.0,0.428414792
1146.0,0.428421229
1147.0,0.428423733
1148.0,0.428423882
1149.0,0.428423285
1150.0,0.428420603
1151.0,0.428407609
1152.0,0.428410351
1153.0,0.428415418
1154.0,0.428429335
1155.0,0.42845872
1156.0,0.428478658
1157.0,0.428496867
1158.0,0.428520232
1159.0,0.428536803
1160.0,0.428565085
1161.0,0.428600371
1162.0,0.428647846
1163.0,0.428685397
1164.0,0.428720146
1165.0,0.428768933
1166.0,0.428821564
1167.0,0.428873777
1168.0,0.428931564
1169.0,0.428997844
1170.0,0.429058522
1171.0,0.429134458
1172.0,0.429237962
1173.0,0.42932713
1174.0,0.429408103
1175.0,0.429499567
1176.0,0.4295941
1177.0,0.42968592
1178.0,0.429787219
1179.0,0.429902881
1180.0,0.430009007
1181.0,0.430112332
1182.0,0.430219591
1183.0,0.430329561
1184.0,0.430436373
1185.0,0.430530965
1186.0,0.430648088
1187.0,0.430777133
1188.0,0.430904478
1189.0,0.431038171
1190.0,0.431195319
1191.0,0.431323737
1192.0,0.431433171
1193.0,0.43156305
1194.0,0.431696385
1195.0,0.431825131
1196.0,0.431961805
1197.0,0.432094246
1198.0,0.432219684
1199.0,0.432345778
1200.0,0.432472974
1201.0,0.432602644
1202.0,0.432730585
1203.0,0.432858139
1204.0,0.432987034
1205.0,0.433119148
1206.0,0.433255076
1207.0,0.433394194
1208.0,0.433526307
1209.0,0.433663845
1210.0,0.433793694
1211.0,0.433906674
1212.0,0.434035271
1213.0,0.434172511
1214.0,0.434306264
1215.0,0.434454978
1216.0,0.434584767
1217.0,0.43470037
1218.0,0.434818506
1219.0,0.434932411
1220.0,0.435029089
1221.0,0.435150713
1222.0,0.435290366
1223.0,0.435409635
1224.0,0.435533881
1225.0,0.435646743
1226.0,0.435730189
1227.0,0.435842603
1228.0,0.435976326
1229.0,0.436092764
1230.0,0.436210573
1231.0,0.436329365
1232.0,0.436438501
1233.0,0.436547965
1234.0,0.436658829
1235.0,0.436780661
1236.0,0.436887532
1237.0,0.436985344
1238.0,0.437082827
1239.0,0.437166333
1240.0,0.43727237
1241.0,0.43738234
1242.0,0.437499255
1243.0,0.437645763
1244.0,0.437767297
1245.0,0.437873513
1246.0,0.437988013
1247.0,0.438098401
1248.0,0.438207597
1249.0,0.438317597
1250.0,0.438433677
1251.0,0.438545495
1252.0,0.438653916
1253.0,0.438759267
1254.0,0.438860595
1255.0,0.43897143
1256.0,0.439086258
1257.0,0.439192355
1258.0,0.439305425
1259.0,0.439410299
1260.0,0.439502746
1261.0,0.439595044
1262.0,0.439699739
1263.0,0.439781964
1264.0,0.439835101
1265.0,0.439902782
1266.0,0.439970165
1267.0,0.440032095
1268.0,0.440090358
1269.0,0.440167546
1270.0,0.440206438
1271.0,0.440203279
1272.0,0.440237999
1273.0,0.440273523
1274.0,0.440310508
1275.0,0.440366626
1276.0,0.440416962
1277.0,0.44044739
1278.0,0.440500587
1279.0,0.44056794
1280.0,0.440643191
1281.0,0.440727979
1282.0,0.440819383
1283.0,0.440931529
1284.0,0.44105345
1285.0,0.441198111
1286.0,0.441369385
1287.0,0.441538453
1288.0,0.441725284
1289.0,0.441908598
1290.0,0.442090183
1291.0,0.44228521
1292.0,0.442488492
1293.0,0.442697108
1294.0,0.442908794
1295.0,0.443136483
1296.0,0.443385094
1297.0,0.443623662
1298.0,0.443864197
1299.0,0.444113433
1300.0,0.444364637
1301.0,0.444608927
1302.0,0.444863021
1303.0,0.445143014
1304.0,0.445385873
1305.0,0.445611715
1306.0,0.445838332
1307.0,0.446044445
1308.0,0.446261495
1309.0,0.446488947
1310.0,0.446701109
1311.0,0.446910381
1312.0,0.447109103
1313.0,0.447301924
1314.0,0.447479546
1315.0,0.447638988
1316.0,0.447799444
1317.0,0.447953403
1318.0,0.448099911
1319.0,0.448230028
1320.0,0.448353946
1321.0,0.44846949
1322.0,0.448566794
1323.0,0.448662341
1324.0,0.448750615
1325.0,0.448843777
1326.0,0.44893676
1327.0,0.449015528
1328.0,0.449099123
1329.0,0.449166238
1330.0,0.449216366
1331.0,0.449256569
1332.0,0.4492791
1333.0,0.449308991
1334.0,0.449342132
1335.0,0.449356228
1336.0,0.449362487
1337.0,0.449373156
1338.0,0.449361414
1339.0,0.449318558
1340.0,0.449296653
1341.0,0.449281424
1342.0,0.449251503
1343.0,0.449222565
1344.0,0.44918102
1345.0,0.449118048
1346.0,0.449068457
1347.0,0.449028522
1348.0,0.448971093
1349.0,0.448912054
1350.0,0.448844582
1351.0,0.448768288
