Database of Origin,CSIRO National Virtual Core Library
Sample Description,See CSIRO Mineral Spectal Library for additional information
Date Added,2018-09-07 18:36:02.862613

Data ID,Albite_M1280        
Sample ID,M1280
Mineral Name,Albite
Locality,USA

Wavelength
532.0,0.389675319
533.0,0.389973968
534.0,0.390189946
535.0,0.390326232
536.0,0.390506387
537.0,0.390781432
538.0,0.391085416
539.0,0.391228318
540.0,0.391361147
541.0,0.391559631
542.0,0.391816825
543.0,0.391917288
544.0,0.392070621
545.0,0.392272502
546.0,0.39238891
547.0,0.392457515
548.0,0.392606556
549.0,0.392836332
550.0,0.392894089
551.0,0.393036753
552.0,0.393212527
553.0,0.39330411
554.0,0.39339605
555.0,0.393513322
556.0,0.393644691
557.0,0.393748879
558.0,0.393840343
559.0,0.393939167
560.0,0.394048572
561.0,0.394123018
562.0,0.39421621
563.0,0.394311398
564.0,0.394366503
565.0,0.394422829
566.0,0.394534111
567.0,0.394667298
568.0,0.394667029
569.0,0.394727618
570.0,0.394832283
571.0,0.394918025
572.0,0.394985825
573.0,0.395045787
574.0,0.395107418
575.0,0.395178765
576.0,0.395269811
577.0,0.395324916
578.0,0.395330966
579.0,0.39538151
580.0,0.395425856
581.0,0.395511538
582.0,0.395691514
583.0,0.395837784
584.0,0.395990461
585.0,0.396192998
586.0,0.396475881
587.0,0.396714628
588.0,0.396882951
589.0,0.396957874
590.0,0.39683333
591.0,0.396657884
592.0,0.396573395
593.0,0.396699786
594.0,0.397009552
595.0,0.39738521
596.0,0.397794962
597.0,0.398370028
598.0,0.398929596
599.0,0.399260104
600.0,0.399214357
601.0,0.398922592
602.0,0.398575276
603.0,0.398363709
604.0,0.39844662
605.0,0.398617923
606.0,0.398797661
607.0,0.398947507
608.0,0.399069101
609.0,0.399136424
610.0,0.399161011
611.0,0.399160355
612.0,0.399065733
613.0,0.398978382
614.0,0.398967564
615.0,0.399047434
616.0,0.399193048
617.0,0.399378002
618.0,0.399589181
619.0,0.399860173
620.0,0.400125951
621.0,0.400404453
622.0,0.400743902
623.0,0.40100199
624.0,0.40124312
625.0,0.401515514
626.0,0.401805311
627.0,0.402053952
628.0,0.402245671
629.0,0.402388632
630.0,0.402516603
631.0,0.402639061
632.0,0.402781427
633.0,0.402975768
634.0,0.403164297
635.0,0.403356314
636.0,0.403557807
637.0,0.403741121
638.0,0.403935373
639.0,0.404138446
640.0,0.40433532
641.0,0.404511303
642.0,0.404695362
643.0,0.40488115
644.0,0.405026883
645.0,0.405210853
646.0,0.405413896
647.0,0.405608445
648.0,0.405807614
649.0,0.405974954
650.0,0.40613389
651.0,0.406328738
652.0,0.406519115
653.0,0.406708837
654.0,0.406903535
655.0,0.407106072
656.0,0.407289028
657.0,0.407472551
658.0,0.407672048
659.0,0.40784204
660.0,0.408046246
661.0,0.408259511
662.0,0.4084194
663.0,0.408652872
664.0,0.408892453
665.0,0.409093589
666.0,0.409282237
667.0,0.409441233
668.0,0.409610361
669.0,0.409826905
670.0,0.410061628
671.0,0.410267681
672.0,0.410459191
673.0,0.410688192
674.0,0.410903722
675.0,0.411104411
676.0,0.411299199
677.0,0.411502302
678.0,0.411712945
679.0,0.411922723
680.0,0.412125736
681.0,0.412340522
682.0,0.412551492
683.0,0.412750065
684.0,0.412938088
685.0,0.413161099
686.0,0.413375795
687.0,0.41356194
688.0,0.413768262
689.0,0.413993657
690.0,0.414210469
691.0,0.414395273
692.0,0.414589077
693.0,0.414808482
694.0,0.415043056
695.0,0.415262282
696.0,0.415474713
697.0,0.41566959
698.0,0.41585803
699.0,0.416100383
700.0,0.416342378
701.0,0.416538447
702.0,0.416679949
703.0,0.416901916
704.0,0.417128414
705.0,0.417335153
706.0,0.417545497
707.0,0.417730033
708.0,0.417920142
709.0,0.418138862
710.0,0.41838029
711.0,0.418582022
712.0,0.418762028
713.0,0.41895774
714.0,0.419153571
715.0,0.419370681
716.0,0.419582427
717.0,0.419736177
718.0,0.419930309
719.0,0.420125157
720.0,0.420300364
721.0,0.420505196
722.0,0.420695692
723.0,0.420883715
724.0,0.421084702
725.0,0.421257079
726.0,0.421454787
727.0,0.421666652
728.0,0.421836525
729.0,0.421932817
730.0,0.422065914
731.0,0.422275215
732.0,0.422470957
733.0,0.422638148
734.0,0.422780961
735.0,0.422919899
736.0,0.423098952
737.0,0.423277795
738.0,0.423436075
739.0,0.423576891
740.0,0.423783153
741.0,0.42397967
742.0,0.424124181
743.0,0.424234271
744.0,0.424382985
745.0,0.424556851
746.0,0.424723595
747.0,0.424855858
748.0,0.425005406
749.0,0.425177306
750.0,0.425356358
751.0,0.425544649
752.0,0.42568168
753.0,0.425798655
754.0,0.425997585
755.0,0.426146597
756.0,0.426273108
757.0,0.426408738
758.0,0.42654407
759.0,0.426671088
760.0,0.426808625
761.0,0.426970154
762.0,0.427123487
763.0,0.427245051
764.0,0.427356273
765.0,0.427494913
766.0,0.427586377
767.0,0.427698582
768.0,0.427846849
769.0,0.427967519
770.0,0.428110063
771.0,0.428247482
772.0,0.428352296
773.0,0.428427041
774.0,0.428562492
775.0,0.428707302
776.0,0.428785086
777.0,0.428885281
778.0,0.428995103
779.0,0.429105878
780.0,0.429213047
781.0,0.429288685
782.0,0.42939198
783.0,0.429528445
784.0,0.42961365
785.0,0.429700732
786.0,0.429791063
787.0,0.429877698
