Database of Origin,Western Washington University
Sample Description,"Calcium and Magnesium Sulfate Mixtures, laboratory resolution"
Date Added,2017-11-11 06:15:58.898620

Data ID,WWU_Sulf_15         
Sample ID,Ca_Sulf_15
Mineral Name,60% Anhydrite-40% Gypsum
Locality,Synthetic
Grain Size,500 - 1000 um
Viewing Geometry,35 degrees
Resolution,3nm/30nm
Composition,Synthetic calcium sulfate

Wavelength
758.0,0.991911232
759.0,0.99207364
760.0,0.992235802
761.0,0.992422975
762.0,0.992591884
763.0,0.992759311
764.0,0.99298359
765.0,0.99319306
766.0,0.993346255
767.0,0.993471228
768.0,0.993702007
769.0,0.993966189
770.0,0.994150071
771.0,0.994204702
772.0,0.994345883
773.0,0.994568352
774.0,0.994797486
775.0,0.994935459
776.0,0.995068825
777.0,0.995215272
778.0,0.995385086
779.0,0.995586
780.0,0.995659718
781.0,0.995739853
782.0,0.995968245
783.0,0.996352546
784.0,0.996522607
785.0,0.996538075
786.0,0.996635734
787.0,0.996817312
788.0,0.997012466
789.0,0.997218974
790.0,0.997486529
791.0,0.997594802
792.0,0.997649514
793.0,0.99777671
794.0,0.998036613
795.0,0.99832013
796.0,0.998573287
797.0,0.998748366
798.0,0.998721874
799.0,0.998883542
800.0,0.999191412
801.0,0.99937225
802.0,0.999535399
803.0,0.999690568
804.0,0.999842528
805.0,0.01
806.0,0.01000237031
807.0,0.01000458349
808.0,0.01000602246
809.0,0.01000748282
810.0,0.01000954461
811.0,0.01001182772
812.0,0.01001378913
813.0,0.01001587889
814.0,0.01001803199
815.0,0.01001988892
816.0,0.01002114524
817.0,0.01002338557
818.0,0.0100252285
819.0,0.01002634331
820.0,0.01002800937
821.0,0.01003025955
822.0,0.01003236248
823.0,0.01003386809
824.0,0.01003526594
825.0,0.01003750955
826.0,0.01003981568
827.0,0.01004127358
828.0,0.01004294374
829.0,0.01004561929
830.0,0.01004906905
831.0,0.01005222426
832.0,0.01005330697
833.0,0.01005411326
834.0,0.01005524041
835.0,0.01005578342
836.0,0.0100585865
837.0,0.01006141425
838.0,0.01006281785
839.0,0.01006448801
840.0,0.01006638443
841.0,0.01006862064
842.0,0.01007095558
843.0,0.01007203583
844.0,0.01007347728
845.0,0.01007526426
846.0,0.0100769081
847.0,0.01007997116
848.0,0.01008262614
849.0,0.01008462046
850.0,0.01008707963
851.0,0.01008975519
852.0,0.01009300254
853.0,0.01009658475
854.0,0.01009951536
855.0,0.01010277916
856.0,0.0101060693
857.0,0.01010881725
858.0,0.01011043558
859.0,0.01011229498
860.0,0.01011471301
861.0,0.01011743299
862.0,0.01011961242
863.0,0.01012162731
864.0,0.01012389396
865.0,0.01012668717
866.0,0.01012945321
867.0,0.01013230236
868.0,0.01013519265
869.0,0.01013802206
870.0,0.01014152528
