,RED
774.0,2.6065508
775.0,3.1962516
776.0,4.6393726
777.0,6.2789481
778.0,9.2004224
779.0,13.377966
780.0,20.574011
781.0,32.667176
782.0,54.835859
783.0,96.456032
784.0,177.1486
785.0,341.12169
786.0,650.81584
787.0,1133.7763
788.0,1613.7755
789.0,1877.7734
790.0,1887.9014
791.0,1816.3873
792.0,1752.7673
793.0,1742.3403
794.0,1738.8013
795.0,1784.5427
796.0,1845.1736
797.0,1903.4829
798.0,1908.8168
799.0,1886.8853
800.0,1870.4241
801.0,1899.8502
802.0,1906.5123
803.0,1886.3273
804.0,1906.7077
805.0,1857.4092
806.0,1921.3441
807.0,1907.5059
808.0,1887.9467
809.0,1849.163
810.0,1860.0499
811.0,1849.805
812.0,1841.0727
813.0,1834.7544
814.0,1836.814
815.0,1832.5559
816.0,1838.5933
817.0,1867.7661
818.0,1852.959
819.0,1851.4637
820.0,1863.478
821.0,1871.7269
822.0,1835.3154
823.0,1865.9899
824.0,1850.022
825.0,1830.1112
826.0,1837.4752
827.0,1828.3129
828.0,1823.8056
829.0,1805.7993
830.0,1809.3544
831.0,1815.0585
832.0,1827.8824
833.0,1805.878
834.0,1838.096
835.0,1844.4191
836.0,1872.4466
837.0,1846.5496
838.0,1834.4404
839.0,1790.8924
840.0,1791.4555
841.0,1783.0162
842.0,1728.426
843.0,1715.0322
844.0,1696.3367
845.0,1731.5305
846.0,1742.875
847.0,1704.2512
848.0,1728.6954
849.0,1731.3231
850.0,1583.1142
851.0,1745.7072
852.0,1717.8409
853.0,1703.4527
854.0,1508.7985
855.0,1605.5764
856.0,1707.3441
857.0,1721.0646
858.0,1715.3833
859.0,1711.5081
860.0,1705.9254
861.0,1707.6079
862.0,1722.5049
863.0,1739.2683
864.0,1708.4777
865.0,1685.5382
866.0,1482.8853
867.0,1595.1654
868.0,1673.2166
869.0,1644.6596
870.0,1656.7969
871.0,1625.8301
872.0,1636.6018
873.0,1608.4127
874.0,1574.1299
875.0,1541.7225
876.0,1583.8815
877.0,1592.0467
878.0,1588.8889
879.0,1566.4001
880.0,1579.9076
881.0,1529.9814
882.0,1567.7664
883.0,1561.0639
884.0,1547.9422
885.0,1532.9103
886.0,1416.0143
887.0,1286.2292
888.0,1120.9935
889.0,867.63253
890.0,659.89435
891.0,463.14063
892.0,301.25719
893.0,187.73877
894.0,118.48738
895.0,71.973431
896.0,47.96893
897.0,31.731773
898.0,21.468765
899.0,14.251006
900.0,10.312387
901.0,7.4410023
902.0,5.3018658
903.0,4.2363462
904.0,3.1869559
905.0,2.530323
906.0,2.0111665
907.0,1.6000398
908.0,1.4280447
909.0,1.1338883
910.0,0.91965201
911.0,0.79311876
912.0,0.69191259
913.0,0.67669804
914.0,0.5878565
915.0,0.54295631
916.0,0.50450621
917.0,0.4773997
918.0,0.46174346
919.0,0.43309697
920.0,0.37672149
921.0,0.34723366
922.0,0.38967508
923.0,0.3716986
924.0,0.24566734
925.0,0.31857912
926.0,0.3109499
927.0,0.32592679
928.0,0.32951407
929.0,0.30602681
930.0,0.31397806
931.0,0.33966245
932.0,0.41898029
933.0,0.20746714
934.0,0.28095758
935.0,0.26017117
936.0,0.26869325
937.0,0.26997863
938.0,0.29808294
939.0,0.27620264
940.0,0.30267775
941.0,0.26141292
942.0,0.25084078
943.0,0.25001207
944.0,0.25511014
945.0,0.25743112
946.0,0.34682462
947.0,0.27188292
948.0,0.16889105
949.0,0.24723574
950.0,0.26572402
951.0,0.28765116
952.0,0.27792488
953.0,0.27540962
954.0,0.20598532
955.0,0.23182281
956.0,0.22677604
957.0,0.23581007
958.0,0.31572025
959.0,0.26062114
960.0,0.26323059
961.0,0.24998236
962.0,0.24463405
963.0,0.28033004
964.0,0.34781075
965.0,0.29581378
966.0,0.30781047
967.0,0.3188276
968.0,0.32139172
969.0,0.32456309
970.0,0.31438297
971.0,0.31467043
972.0,0.29520176
973.0,0.27385301
974.0,0.27841675
975.0,0.26358035
976.0,0.25077352
977.0,0.24435277
978.0,0.24027344
979.0,0.23485891
980.0,0.22300415
981.0,0.19050939
982.0,0.16548592
983.0,0.19355931
984.0,0.18303223
985.0,0.1807555
986.0,0.17281374
987.0,0.16765462
988.0,0.168634
989.0,0.19610984
990.0,0.16000616
991.0,0.16779052
992.0,0.15896807
993.0,0.15283984
994.0,0.15163091
995.0,0.14989677
996.0,0.1695897
997.0,0.17210173
998.0,0.14925786
999.0,0.15413567
1000.0,0.15072404
1001.0,0.14190441
1002.0,0.1255992
1003.0,0.10072344
1004.0,0.12617642
1005.0,0.11456168
1006.0,0.11821629
1007.0,0.12169764
1008.0,0.13619341
1009.0,0.13826705
1010.0,0.099263786
1011.0,0.11790247
1012.0,0.11796249
1013.0,0.11825534
1014.0,0.11623965
1015.0,0.10942016
1016.0,0.11015009
1017.0,0.10826511
1018.0,0.10746456
1019.0,0.10707242
1020.0,0.1037223
1021.0,0.10464494
1022.0,0.102957
1023.0,0.10082851
1024.0,0.098060588
1025.0,0.097582098
1026.0,0.093626068
1027.0,0.097253892
1028.0,0.1036998
1029.0,0.095688392
1030.0,0.09412764
1031.0,0.091682855
1032.0,0.089822996
1033.0,0.081207279
1034.0,0.079714486
1035.0,0.082899688
1036.0,0.082496815
1037.0,0.081001273
1038.0,0.082319367
1039.0,0.081329169
1040.0,0.077114256
1041.0,0.074119456
1042.0,0.069644811
1043.0,0.067780126
1044.0,0.067281982
1045.0,0.065105886
1046.0,0.061902453
1047.0,0.060858367
1048.0,0.059196378
1049.0,0.064426046
1050.0,0.06627898
1051.0,0.059470755
1052.0,0.055758275
1053.0,0.056114305
1054.0,0.055220251
1055.0,0.052906566
1056.0,0.051685753
1057.0,0.050000114
1058.0,0.04814414
1059.0,0.04448093
1060.0,0.043444875
1061.0,0.040314442
1062.0,0.040241909
1063.0,0.038729718
1064.0,0.037444529
1065.0,0.036215391
1066.0,0.033870346
1067.0,0.030696608
1068.0,0.029610804
1069.0,0.027592275
1070.0,0.032071092
1071.0,0.03175344
1072.0,0.029103088
1073.0,0.02670323
1074.0,0.024775108
1075.0,0.020132587
1076.0,0.021158291
1077.0,0.022500437
1078.0,0.023425218
1079.0,0.023044532
1080.0,0.023860501
1081.0,0.022776829
1082.0,0.021284233
1083.0,0.021407192
1084.0,0.021611175
1085.0,0.020793065
1086.0,0.020557357
1087.0,0.019970364
1088.0,0.020079792
1089.0,0.019981094
1090.0,0.019891133
1091.0,0.019362573
1092.0,0.018687457
1093.0,0.019754151
1094.0,0.01937825
1095.0,0.020544736
1096.0,0.020571762
1097.0,0.017325863
1098.0,0.019887551
1099.0,0.020699586
1100.0,0.02173243
