,PAN
1037.0,0.025194574
1038.0,0.027353274
1039.0,0.02504376
1040.0,0.022210333
1041.0,0.024384758
1042.0,0.023371029
1043.0,0.019949431
1044.0,0.017206605
1045.0,0.014892858
1046.0,0.012058446
1047.0,0.009484886
1048.0,0.007157019
1049.0,0.0022286798
1050.0,0.0033948162
1051.0,0.0060331648
1052.0,0.0043024291
1053.0,0.0035171089
1054.0,0.0040219351
1055.0,0.0046455062
1056.0,0.0044634667
1057.0,0.0037493442
1058.0,0.0034578074
1059.0,0.0026236312
1060.0,0.0027235668
1061.0,0.0021156439
1062.0,0.0020998229
1063.0,0.0024487655
1064.0,0.0018669177
1065.0,0.0017147276
1066.0,0.0021485191
1067.0,0.0027168996
1068.0,0.0025578822
1069.0,-0.0019898803
1070.0,0.0020157497
1071.0,0.0037088965
1072.0,0.0015130595
1073.0,0.00094121973
1074.0,0.0010253786
1075.0,0.0011501498
1076.0,0.00081374886
1077.0,-0.0037365956
1078.0,-0.00046875608
1079.0,0.0011259125
1080.0,0.0011258162
1081.0,0.0017245084
1082.0,0.0015351135
1083.0,0.0011702616
1084.0,0.0014954315
1085.0,0.0017938773
1086.0,0.0017621154
1087.0,0.0015979262
1088.0,0.0018537778
1089.0,0.0020587246
1090.0,0.0019949042
1091.0,0.0014981354
1092.0,-0.0019904326
1093.0,0.0011241718
1094.0,0.002626603
1095.0,0.0028199354
1096.0,0.0028188681
1097.0,0.0029119137
1098.0,0.0037140603
1099.0,0.0038584545
1100.0,0.0041914577
