,BLU
726.0,0.40339041
727.0,0.32201938
728.0,0.26277344
729.0,0.43374548
730.0,0.29257605
731.0,0.29654315
732.0,0.2766492
733.0,0.40911917
734.0,0.28822903
735.0,0.27692397
736.0,0.36756549
737.0,0.39194277
738.0,0.34336674
739.0,0.46239295
740.0,0.52332422
741.0,0.47695082
742.0,0.54990905
743.0,0.60189364
744.0,0.44003375
745.0,0.62963031
746.0,0.69741427
747.0,0.32718695
748.0,0.33099548
749.0,0.19387901
750.0,0.10724253
751.0,0.18842542
752.0,0.33831325
753.0,0.17378995
754.0,0.42471841
755.0,0.37013513
756.0,0.38940679
757.0,0.3301145
758.0,0.49036998
759.0,0.25165287
760.0,0.27132487
761.0,0.34113702
762.0,0.24949996
763.0,0.26654951
764.0,0.21781373
765.0,0.20806939
766.0,0.12680335
767.0,0.34069771
768.0,0.17212886
769.0,0.33694143
770.0,0.24703672
771.0,0.51428923
772.0,0.16528144
773.0,0.35549523
774.0,0.29995959
775.0,0.36780162
776.0,0.25919619
777.0,0.38752565
778.0,0.33749602
779.0,0.29262941
780.0,0.38730487
781.0,0.099108567
782.0,0.27793015
783.0,0.39339208
784.0,0.51065025
785.0,0.16329731
786.0,0.68325175
787.0,0.25307734
788.0,0.57176189
789.0,0.30932326
790.0,0.48117447
791.0,0.49959205
792.0,0.49556138
793.0,0.33081324
794.0,0.3312227
795.0,0.20844313
796.0,0.074162279
797.0,0.33407154
798.0,-0.12802966
799.0,0.28647326
800.0,0.14779114
801.0,0.27629282
802.0,-0.075393325
803.0,0.23408866
804.0,-0.12717166
805.0,0.16320625
806.0,0.11228822
807.0,0.23791778
808.0,-0.092357428
809.0,-0.0036511123
810.0,-0.27205306
811.0,0.098480995
812.0,-0.091369456
813.0,0.30459606
814.0,-0.26214037
815.0,0.49166859
816.0,0.029744804
817.0,0.23203569
818.0,-0.2504782
819.0,0.28649498
820.0,-0.0310445
821.0,-0.042119067
822.0,0.17610414
823.0,0.13771108
824.0,0.47979978
825.0,-0.1624154
826.0,0.51630812
827.0,0.068250416
828.0,0.59354807
829.0,0.24626499
830.0,0.92835546
831.0,0.19979192
832.0,0.51752866
833.0,0.10153806
834.0,0.3918217
835.0,0.07957568
836.0,0.16706066
837.0,0.10556643
838.0,-0.0018233323
839.0,0.13827469
840.0,-0.030833051
841.0,0.34661063
842.0,-0.19454523
843.0,0.62360532
844.0,-0.37266279
845.0,0.64505565
846.0,-0.068709653
847.0,0.55002816
848.0,0.0035324803
849.0,0.81875894
850.0,0.50413194
851.0,1.2169029
852.0,1.5040294
853.0,1.6725963
854.0,1.4591827
855.0,1.3990259
856.0,1.2763043
857.0,1.0036046
858.0,0.77584217
859.0,0.65255843
860.0,0.57161232
861.0,0.48464077
862.0,0.43481035
863.0,0.42248446
864.0,0.44091223
865.0,0.47278864
866.0,0.45743402
867.0,0.59605717
868.0,0.74262548
869.0,0.89980899
870.0,1.1251804
871.0,1.2849116
872.0,1.461937
873.0,1.497703
874.0,1.4083798
