,NIR
536.0,0.47120623
537.0,0.38219889
538.0,0.42106664
539.0,0.49884794
540.0,0.40692589
541.0,0.52970905
542.0,0.40046231
543.0,0.51077347
544.0,0.3296435
545.0,0.35916889
546.0,0.28817276
547.0,0.39373659
548.0,0.14441828
549.0,0.3307163
550.0,0.27172551
551.0,0.36270698
552.0,0.28545642
553.0,0.33420248
554.0,0.33749052
555.0,0.15734848
556.0,0.46799947
557.0,0.44781272
558.0,0.52770968
559.0,0.23252143
560.0,0.54027671
561.0,0.24343579
562.0,0.023070399
563.0,0.2258624
564.0,0.11976856
565.0,0.19824343
566.0,0.28604214
567.0,0.12663873
568.0,0.11212157
569.0,0.0039600945
570.0,0.21325617
571.0,-0.17326649
572.0,0.42350656
573.0,-0.19357076
574.0,0.064848661
575.0,-0.18110668
576.0,0.073056692
577.0,-0.01418653
578.0,0.1761701
579.0,0.16426389
580.0,0.1880935
581.0,0.16629024
582.0,0.12981563
583.0,0.31863406
584.0,-0.13216881
585.0,0.15748331
586.0,-0.021679988
587.0,0.17638398
588.0,-0.090390165
589.0,0.12722153
590.0,-0.1161384
591.0,0.21039728
592.0,-0.25201469
593.0,0.18716705
594.0,-0.089483892
595.0,0.071177766
596.0,0.09806008
597.0,0.012075622
598.0,0.21123007
599.0,-0.08656665
600.0,0.30248516
601.0,-0.11489176
602.0,0.2532314
603.0,-0.097920833
604.0,0.4485507
605.0,-0.15910834
606.0,0.40029588
607.0,-0.14031644
608.0,0.14748328
609.0,-0.083801756
610.0,0.16458061
611.0,0.025032191
612.0,0.076258974
613.0,0.39274656
614.0,0.0018648644
615.0,0.090921708
616.0,0.060090033
617.0,0.10014223
618.0,-0.019264144
619.0,0.23033602
620.0,-0.12043378
621.0,0.31528619
622.0,-0.099162817
623.0,0.48630849
624.0,-0.2809928
625.0,0.49839734
626.0,0.022480922
627.0,0.1371947
628.0,0.20286307
629.0,0.13277445
630.0,0.31207652
631.0,-0.045525468
632.0,0.31899679
633.0,-0.057592393
634.0,0.42885126
635.0,-0.2942208
636.0,0.41491781
637.0,-0.17622162
638.0,0.27674283
639.0,-0.09552154
640.0,0.18277865
641.0,0.044712407
642.0,-0.13417978
643.0,0.32573441
644.0,0.10850542
645.0,0.2820852
646.0,0.21719274
647.0,0.31759716
648.0,0.095681749
649.0,0.33033133
650.0,-0.27758481
651.0,0.41499074
652.0,-0.11164941
653.0,0.30096965
654.0,0.031315471
655.0,0.26728552
656.0,0.09765218
657.0,0.39178339
658.0,0.17730638
659.0,0.21446787
660.0,0.35538919
661.0,0.053674249
662.0,0.34609275
663.0,0.10193815
664.0,0.46201568
665.0,-0.0222894
666.0,0.28594031
667.0,-0.13331687
668.0,0.20655528
669.0,-0.21916517
670.0,0.23416529
671.0,0.13490259
672.0,0.13506856
673.0,0.27432279
674.0,0.17052285
675.0,0.39527289
676.0,0.2903392
677.0,0.60094961
678.0,0.22749539
679.0,0.37944884
680.0,0.088712963
681.0,0.25257864
682.0,-0.10350517
683.0,0.08097541
684.0,-0.14864139
685.0,0.11662029
686.0,-0.17234187
687.0,-0.001812421
688.0,0.052777471
689.0,-0.058537227
690.0,-0.17488891
691.0,0.071402927
692.0,-0.2216423
693.0,0.20292804
694.0,-0.11572164
695.0,0.076254859
696.0,-0.084181428
697.0,0.031011035
698.0,0.02884808
699.0,0.041942142
700.0,-0.10673454
701.0,0.1063551
702.0,0.13599718
703.0,0.021660122
704.0,0.14922827
705.0,-0.13086918
706.0,0.056597549
707.0,-0.081820077
708.0,-0.04547261
709.0,-0.18464326
710.0,0.036655127
711.0,-0.11168299
712.0,0.078081239
713.0,-0.061289029
714.0,0.089373253
715.0,0.08915413
716.0,0.054373983
717.0,0.030844483
718.0,0.046993269
719.0,-0.043397974
720.0,0.086446079
721.0,0.11407972
722.0,-0.056807917
723.0,0.058237542
724.0,-0.1624119
725.0,-0.053078821
726.0,-0.05500076
727.0,0.0018412183
728.0,0.02205268
729.0,0.084299311
730.0,-0.10120177
731.0,0.1319938
732.0,0.014760838
733.0,-0.060011296
734.0,0.14317386
735.0,0.11077347
736.0,0.0018308893
737.0,0.023920934
738.0,0.036525509
739.0,0.039279818
740.0,-0.023536906
741.0,0.039592627
742.0,0.10602845
743.0,-0.069937999
744.0,0.024134477
745.0,0.08172418
746.0,-0.01854534
747.0,-0.12827749
748.0,0.0073892497
749.0,-0.10708785
750.0,0.0018503524
751.0,-0.018465068
752.0,0.13754433
753.0,0.12018135
754.0,0.20108761
755.0,0.02630251
756.0,0.054025949
757.0,-0.014930196
758.0,0.0037755929
759.0,0.027965793
760.0,-0.013194227
761.0,0.020622943
762.0,-0.024396868
763.0,0.069943353
764.0,-0.054932142
765.0,0.1968224
766.0,-0.063392134
